"accession","reference_length","covered_bases","reads_aligned","mean_coverage","RPKMF","sequence_name","taxid","kingdom","phylum","class","order","family","genus","species","subspecies","strain","sample_ID","total_filtered_reads_in_sample"
"AF406967.1",5276,395,105,2.7337105,3.97093,"Bovine parvovirus 3 putative non-structural protein and putative capsid protein genes, complete cds",172297,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Erythroparvovirus","Ungulate erythroparvovirus 1","Bovine parvovirus 3","Bovine parvovirus 3","NGS_2T",5011786
"AY037928.1",9472,3719,85,1.3000429,1.79054,"Human endogenous retrovirus K113 complete genome",166122,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","unclassified Retroviridae genus","Human endogenous retrovirus K","Human endogenous retrovirus K113","Human endogenous retrovirus K113","NGS_2T",5011786
"CY086882.1",1410,466,8,4.7674603,1.13208,"Influenza A virus (A/swine/Indiana/240218/2010(H1N2)) neuraminidase (NA) gene, complete cds",1593505,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Indiana/24-0218/2010(H1N2))","Influenza A virus (A/swine/Indiana/24-0218/2010(H1N2))","NGS_2T",5011786
"CY090850.1",2208,171,16,1.0646259,1.44587,"Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PA (PA) gene, complete cds",506344,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))","Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))","NGS_2T",5011786
"CY116312.1",2280,307,113,7.9535213,9.88897,"Influenza A virus (A/swine/England/87842/1990(H3N2)) polymerase PB2 (PB2) gene, complete cds",1176119,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/England/87842/1990(H3N2))","Influenza A virus (A/swine/England/87842/1990(H3N2))","NGS_2T",5011786
"CY116314.1",2151,105,0,0.07296352,0,"Influenza A virus (A/swine/England/87842/1990(H3N2)) polymerase PA (PA) gene, complete cds",1176119,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/England/87842/1990(H3N2))","Influenza A virus (A/swine/England/87842/1990(H3N2))","NGS_2T",5011786
"CY159767.1",2316,136,1,0.06278855,0.0861527,"Influenza A virus (A/swine/Texas/00525/2005(H1N1)) polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1432620,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Texas/00525/2005(H1N1))","Influenza A virus (A/swine/Texas/00525/2005(H1N1))","NGS_2T",5011786
"CY187626.1",1737,1095,2069,184.82986,237.667,"Influenza A virus (A/Houston/JMM_42/2012(H3N2)) hemagglutinin (HA) gene, complete cds",1383502,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/Houston/JMM_42/2012(H3N2))","Influenza A virus (A/Houston/JMM_42/2012(H3N2))","NGS_2T",5011786
"CY187632.1",2309,1192,2578,200.2881,222.775,"Influenza A virus (A/Houston/JMM_42/2012(H3N2)) polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1383502,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/Houston/JMM_42/2012(H3N2))","Influenza A virus (A/Houston/JMM_42/2012(H3N2))","NGS_2T",5011786
"D10032.1",8507,5060,13455,239.83522,315.584,"Baboon endogenous virus strain M7 proviral DNA, complete genome",11764,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Baboon endogenous virus","Baboon endogenous virus strain M7","Baboon endogenous virus strain M7","NGS_2T",5011786
"DQ098913.1",7791,121,13,0.2058631,0.332934,"Bovine papillomavirus type 8, complete genome",2758968,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Epsilonpapillomavirus","Epsilonpapillomavirus 1","Bos taurus papillomavirus 8","Bos taurus papillomavirus 8","NGS_2T",5011786
"EF059923.1",2359,450,3,0.20371209,0.253747,"Human rotavirus G9 strain CAU 202 VP4 gene, complete cds",42567,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus G9","Rotavirus G9","NGS_2T",5011786
"EU030001.1",8406,263,3,0.11555233,0.0712097,"RD114 retrovirus isolate SC3C, complete genome",11834,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","RD114 retrovirus","unclassified RD114 retrovirus subspecies/strain","unclassified RD114 retrovirus strain","NGS_2T",5011786
"EU182271.1",2310,106,0,2.1217592,0,"Influenza A virus (A/chicken/CA/S0403106/2004(H6N2)) segment 2, complete sequence",475029,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/chicken/CA/S0403106/2004(H6N2))","Influenza A virus (A/chicken/CA/S0403106/2004(H6N2))","NGS_2T",5011786
"FJ025904.1",37860,105,0,0.015274463,0,"Simian adenovirus 31.2, complete genome",585088,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Simian adenovirus 31.2","Simian adenovirus 31.2","NGS_2T",5011786
"FJ810126.1",5759,746,5,0.12444286,0.173233,"Culex pipiens densovirus, complete genome",185638,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Protoambidensovirus","Dipteran protoambidensovirus 1","Culex pipiens densovirus","Culex pipiens densovirus","NGS_2T",5011786
"FJ973560.1",4958,450,37,1.141639,1.48903,"Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome",1511881,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 2","Human bocavirus 2b NI","Human bocavirus 2b NI","NGS_2T",5011786
"FN824512.2",45480,110,0,0.041275095,0,"Pigeon adenovirus 1 complete genome, strain IDA4",764030,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Aviadenovirus","Pigeon aviadenovirus A","Pigeon adenovirus 1","Pigeon adenovirus 1","NGS_2T",5011786
"GU452720.1",3893,934,7,0.276249,0.358774,"Mosquito densovirus BR/07, complete genome",945962,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Brevidensovirus","Mosquito densovirus BR/07","unclassified Mosquito densovirus BR/07 subspecies/strain","unclassified Mosquito densovirus BR/07 strain","NGS_2T",5011786
"GU937877.1",3302,300,2,0.095177665,0.120854,"Caprine rotavirus A strain GO34 RNA-dependent RNA polymerase (VP1) gene, complete cds",204932,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Caprine rotavirus A","Caprine rotavirus A","NGS_2T",5011786
"GU937881.1",1356,489,4,0.48175788,0.588583,"Caprine rotavirus A strain GO34 VP6 protein (VP6) gene, complete cds",204932,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Caprine rotavirus A","Caprine rotavirus A","NGS_2T",5011786
"HQ166043.1",2233,144,1,0.056649063,0.089355,"Influenza A virus (A/Netherlands/26/2007(H1N1)) segment 3 polymerase PA (PA) gene, complete cds",877502,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/Netherlands/26/2007(H1N1))","Influenza A virus (A/Netherlands/26/2007(H1N1))","NGS_2T",5011786
"HQ625441.1",7724,293,2,0.038684975,0.0516649,"Rattus norvegicus papillomavirus 2, complete genome",1036965,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Iotapapillomavirus","Iotapapillomavirus 1","Rattus norvegicus papillomavirus 2","Rattus norvegicus papillomavirus 2","NGS_2T",5011786
"J02226.1",5130,1152,8,0.24056225,0.311157,"JC virus complete genome",10632,"Viruses","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","Betapolyomavirus","Betapolyomavirus secuhominis","JC polyomavirus","JC polyomavirus","NGS_2T",5011786
"JF304767.1",7664,117,4,0.6820602,0.104139,"Saimiri sciureus papillomavirus type 3 isolate Mac2167.2, complete genome",990306,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Dyoomikronpapillomavirus","Dyoomikronpapillomavirus 1","Saimiri sciureus papillomavirus 3","Saimiri sciureus papillomavirus 3","NGS_2T",5011786
"JX195074.1",3302,141,1,0.044733502,0.0604269,"Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8 segment 1, complete sequence",1307163,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","NGS_2T",5011786
"JX195076.1",2591,300,2,0.11798443,0.154017,"Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8 segment 3, complete sequence",1307163,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","NGS_2T",5011786
"JX195078.1",1356,300,2,0.24875621,0.294292,"Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8 segment 6, complete sequence",1307163,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","NGS_2T",5011786
"JX195080.1",1567,150,1,0.10585745,0.127332,"Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8 segment 5, complete sequence",1307163,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8","NGS_2T",5011786
"JX494721.1",2280,346,282,20.048357,24.6787,"Influenza A virus (A/swine/Guangdong/L23/2010(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",1223810,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Guangdong/L23/2010(H3N2))","Influenza A virus (A/swine/Guangdong/L23/2010(H3N2))","NGS_2T",5011786
"JX898904.1",1410,194,1,0.27698413,0.14151,"Influenza A virus (A/swine/Montana/21/2012(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",1239379,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Montana/21/2012(H3N2))","Influenza A virus (A/swine/Montana/21/2012(H3N2))","NGS_2T",5011786
"KC471359.1",2274,221,1,0.2693032,0.0877439,"Influenza A virus (A/swine/Korea/CY12-03/2011(H1N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1281718,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Korea/CY12-03/2011(H1N2))","Influenza A virus (A/swine/Korea/CY12-03/2011(H1N2))","NGS_2T",5011786
"KC617868.1",3780,3780,10289,391.2653,543.111,"Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",1341019,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","unclassified Parvoviridae genus","Parvovirus NIH-CQV","unclassified Parvovirus NIH-CQV subspecies/strain","unclassified Parvovirus NIH-CQV strain","NGS_2T",5011786
"KC782514.2",1566,386,14,0.9795198,1.78379,"Rotavirus A human-wt/USA/LB1562/2010/G9P4 NSP1 (NSP1) gene, complete cds",1349389,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus A human-wt/USA/LB1562/2010/G9P4","Rotavirus A human-wt/USA/LB1562/2010/G9P4","NGS_2T",5011786
"KC782520.2",2687,584,4,0.23019314,0.29703,"Rotavirus A human-wt/USA/LB1562/2010/G9P4 VP2 (VP2) gene, complete cds",1349389,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Rotavirus","Rotavirus A","Rotavirus A human-wt/USA/LB1562/2010/G9P4","Rotavirus A human-wt/USA/LB1562/2010/G9P4","NGS_2T",5011786
"KC859214.2",1732,116,1,0.073324904,0.115202,"Influenza A virus (A/swine/Thailand/PB482/2009(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds",1315824,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Thailand/PB482/2009(H3N2))","Influenza A virus (A/swine/Thailand/PB482/2009(H3N2))","NGS_2T",5011786
"KF039910.1",6792,145,1,0.021830773,0.0293772,"Human astrovirus 2 isolate Rus-Nsc05-430, complete genome",12701,"Viruses","Pisuviricota","Stelpaviricetes","Stellavirales","Astroviridae","Mamastrovirus","Mamastrovirus 1","Human astrovirus 2","Human astrovirus 2","NGS_2T",5011786
"KF703446.1",127320,363,0,0.014107101,0,"Retroperitoneal fibromatosis-associated herpesvirus isolate RFHVMnM78114, complete genome",111469,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Rhadinovirus","Macacine gammaherpesvirus 8","Retroperitoneal fibromatosis-associated herpesvirus","Retroperitoneal fibromatosis-associated herpesvirus","NGS_2T",5011786
"KF986979.1",1410,300,2,3.1666667,0.283021,"Influenza A virus (A/swine/Oklahoma/A01290898/2013(H1N2)) segment 6 neuraminidase (NA) gene, complete cds",1440112,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Oklahoma/A01290898/2013(H1N2))","Influenza A virus (A/swine/Oklahoma/A01290898/2013(H1N2))","NGS_2T",5011786
"KJ541759.1",33452,176,54,0.24611135,0.322091,"Ball python nidovirus strain 07-53, complete genome",1986118,"Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Tobaniviridae","Pregotovirus","Ball python nidovirus 1","unclassified Ball python nidovirus 1 subspecies/strain","unclassified Ball python nidovirus 1 strain","NGS_2T",5011786
"KM269482.1",7875,184,18,1.3747573,0.456068,"Encephalomyocarditis virus strain ATCC VR-129B, complete genome",12104,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Cardiovirus","Cardiovirus A","Encephalomyocarditis virus","Encephalomyocarditis virus","NGS_2T",5011786
"KT149397.1",2985,2317,590,30.391888,39.438,"Circovirus-like genome DCCV-4, complete genome",1788444,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","unclassified Circoviridae genus","Circovirus-like genome DCCV-4","unclassified Circovirus-like genome DCCV-4 subspecies/strain","unclassified Circovirus-like genome DCCV-4 strain","NGS_2T",5011786
"KT149400.1",3021,152,14,0.73145247,0.924666,"Circovirus-like genome DCCV-7, complete genome",1788447,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","unclassified Circoviridae genus","Circovirus-like genome DCCV-7","unclassified Circovirus-like genome DCCV-7 subspecies/strain","unclassified Circovirus-like genome DCCV-7 strain","NGS_2T",5011786
"KT149406.1",2433,2265,730,49.094173,59.8671,"Circovirus-like genome DCCV-13, complete genome",1788441,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","unclassified Circoviridae genus","Circovirus-like genome DCCV-13","unclassified Circovirus-like genome DCCV-13 subspecies/strain","unclassified Circovirus-like genome DCCV-13 strain","NGS_2T",5011786
"KT423169.1",989,111,0,0.29558998,0,"Influenza A virus (A/duck/Zhejiang/727038/2014(H6N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1701892,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/duck/Zhejiang/727038/2014(H6N2))","Influenza A virus (A/duck/Zhejiang/727038/2014(H6N2))","NGS_2T",5011786
"KT869077.1",2000,150,1,0.08108108,0.0997648,"Porcine circovirus 3 strain 29160, complete genome",1868221,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","Circovirus","Porcine circovirus 3","unclassified Porcine circovirus 3 subspecies/strain","unclassified Porcine circovirus 3 strain","NGS_2T",5011786
"KU172423.1",5254,548,160,4.0086207,6.07627,"Bovine hokovirus 2 strain bovine hokovirus 2 strain BS-S13 nonstructural protein (NS1), minor capsid protein (VP1), and major capsid protein (VP2) genes, complete cds",1096141,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Tetraparvovirus","Ungulate tetraparvovirus 1","Bovine hokovirus 2","Bovine hokovirus 2","NGS_2T",5011786
"KU351741.1",137448,202,1,0.054931607,0.00145167,"Macaca nemestrina herpesvirus 7, complete genome",1846169,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Macacine betaherpesvirus 9","Macaca nemestrina herpesvirus 7","Macaca nemestrina herpesvirus 7","NGS_2T",5011786
"KU727766.1",5166,881,6,0.16786283,0.231742,"Parus major densovirus isolate PmDNV-JL, complete genome",1907771,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","unclassified Parvoviridae genus","Parus major densovirus","unclassified Parus major densovirus subspecies/strain","unclassified Parus major densovirus strain","NGS_2T",5011786
"KU936049.1",137452,2013,456,1.4531325,0.661944,"Bubaline alphaherpesvirus 1 strain b6, complete genome",202910,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Bubaline alphaherpesvirus 1","unclassified Bubaline alphaherpesvirus 1 subspecies/strain","unclassified Bubaline alphaherpesvirus 1 strain","NGS_2T",5011786
"KU976592.1",1027,120,3,1.327252,0.582852,"Influenza A virus (A/swine/Mexico/AVX47/2013(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1820573,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Mexico/AVX47/2013(H1N1))","Influenza A virus (A/swine/Mexico/AVX47/2013(H1N1))","NGS_2T",5011786
"KU976745.1",1467,137,0,0.48291573,0,"Influenza A virus (A/swine/Mexico/AVX16/2012(H1N2)) segment 6 neuraminidase (NA) gene, complete cds",1820542,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Mexico/AVX16/2012(H1N2))","Influenza A virus (A/swine/Mexico/AVX16/2012(H1N2))","NGS_2T",5011786
"KY019139.2",5371,196,26,0.74698335,0.965886,"Bosavirus MS-2016a, complete genome",1917013,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Copiparvovirus","Ungulate copiparvovirus 5","Bosavirus MS-2016a","Bosavirus MS-2016a","NGS_2T",5011786
