"accession","reference_length","covered_bases","reads_aligned","mean_coverage","RPKMF","sequence_name","taxid","kingdom","phylum","class","order","family","genus","species","subspecies","strain","sample_ID","total_filtered_reads_in_sample"
"HM145750.1",4944,150,1,0.03128911,0.553504,"Bocavirus gorilla/GBoV1/2009, complete genome",864686,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 1","Bocavirus gorilla/GBoV1/2009","Bocavirus gorilla/GBoV1/2009","NC_QCMD",365427
"JF304767.1",7664,120,541,13.007586,193.171,"Saimiri sciureus papillomavirus type 3 isolate Mac2167.2, complete genome",990306,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Dyoomikronpapillomavirus","Dyoomikronpapillomavirus 1","Saimiri sciureus papillomavirus 3","Saimiri sciureus papillomavirus 3","NC_QCMD",365427
"JN254802.1",36711,2024,15,0.06173245,1.11814,"Chimpanzee adenovirus Y25, complete genome",1123958,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus E","Chimpanzee adenovirus Y25","Chimpanzee adenovirus Y25","NC_QCMD",365427
"KC617868.1",3780,403,257,8.769973,186.055,"Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",1341019,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","unclassified Parvoviridae genus","Parvovirus NIH-CQV","unclassified Parvovirus NIH-CQV subspecies/strain","unclassified Parvovirus NIH-CQV strain","NC_QCMD",365427
"KC802221.1",15696,607,4,0.039045412,0.697381,"Phocine distemper virus strain PDV/Wadden_Sea.NLD/1988, complete genome",11240,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Morbillivirus","Phocine morbillivirus","unclassified Phocine morbillivirus subspecies/strain","unclassified Phocine morbillivirus strain","NC_QCMD",365427
"KF360047.1",34163,7376,60,0.2631347,4.80612,"UNVERIFIED: Simian adenovirus ch1 isolate SAdV-ch1 genomic sequence",1509400,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus A","Simian adenovirus ch1","Simian adenovirus ch1","NC_QCMD",365427
"KF703446.1",127320,621,5,0.014924903,0.107466,"Retroperitoneal fibromatosis-associated herpesvirus isolate RFHVMnM78114, complete genome",111469,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Rhadinovirus","Macacine gammaherpesvirus 8","Retroperitoneal fibromatosis-associated herpesvirus","Retroperitoneal fibromatosis-associated herpesvirus","NC_QCMD",365427
"KJ541759.1",33452,210,32,0.14329469,2.61774,"Ball python nidovirus strain 07-53, complete genome",1986118,"Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Tobaniviridae","Pregotovirus","Ball python nidovirus 1","unclassified Ball python nidovirus 1 subspecies/strain","unclassified Ball python nidovirus 1 strain","NC_QCMD",365427
"KM269482.1",7875,138,1,0.024336569,0.347495,"Encephalomyocarditis virus strain ATCC VR-129B, complete genome",12104,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Cardiovirus","Cardiovirus A","Encephalomyocarditis virus","Encephalomyocarditis virus","NC_QCMD",365427
"KM972720.1",4467,106,4,0.037989344,2.45044,"Tete virus strain SaAn 3518 glycoprotein precursor, gene, complete cds",35319,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Tete orthobunyavirus","unclassified Tete orthobunyavirus subspecies/strain","unclassified Tete orthobunyavirus strain","NC_QCMD",365427
"KR135164.1",43842,119,1,0.0062482837,0.0624179,"Duck adenovirus 2 strain CH-GD-12-2014, complete genome",1520006,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Aviadenovirus","Duck aviadenovirus B","Duck adenovirus 2","Duck adenovirus 2","NC_QCMD",365427
"KT149397.1",2985,2364,3486,172.76155,3195.82,"Circovirus-like genome DCCV-4, complete genome",1788444,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","unclassified Circoviridae genus","Circovirus-like genome DCCV-4","unclassified Circovirus-like genome DCCV-4 subspecies/strain","unclassified Circovirus-like genome DCCV-4 strain","NC_QCMD",365427
"KT149406.1",2433,1825,849,58.483135,954.916,"Circovirus-like genome DCCV-13, complete genome",1788441,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","unclassified Circoviridae genus","Circovirus-like genome DCCV-13","unclassified Circovirus-like genome DCCV-13 subspecies/strain","unclassified Circovirus-like genome DCCV-13 strain","NC_QCMD",365427
"KU315178.1",5813,147,1,0.025957974,0.470759,"Pepo aphid-borne yellows virus isolate RSA BB Marrow, complete genome",1462681,"Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae","Polerovirus","Pepo aphid-borne yellows virus","unclassified Pepo aphid-borne yellows virus subspecies/strain","unclassified Pepo aphid-borne yellows virus strain","NC_QCMD",365427
"KU351741.1",137448,194,2,0.11603228,0.0398191,"Macaca nemestrina herpesvirus 7, complete genome",1846169,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Macacine betaherpesvirus 9","Macaca nemestrina herpesvirus 7","Macaca nemestrina herpesvirus 7","NC_QCMD",365427
"KU727766.1",5166,215,9,0.24222489,4.76746,"Parus major densovirus isolate PmDNV-JL, complete genome",1907771,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","unclassified Parvoviridae genus","Parus major densovirus","unclassified Parus major densovirus subspecies/strain","unclassified Parus major densovirus strain","NC_QCMD",365427
"KU936049.1",137452,1501,25,0.33165577,0.497724,"Bubaline alphaherpesvirus 1 strain b6, complete genome",202910,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Bubaline alphaherpesvirus 1","unclassified Bubaline alphaherpesvirus 1 subspecies/strain","unclassified Bubaline alphaherpesvirus 1 strain","NC_QCMD",365427
"KY040274.1",192183,165,0,0.12056261,0,"Molluscum contagiosum virus subtype 2 isolate Madrid 2016_1, complete genome",10281,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus","Molluscum contagiosum virus","Molluscum contagiosum virus subtype 2","Molluscum contagiosum virus subtype 2","NC_QCMD",365427
"KY040275.1",188253,521,1,0.07280586,0.0145364,"Molluscum contagiosum virus subtype 1 isolate Madrid 2016_3, complete genome",10280,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus","Molluscum contagiosum virus","Molluscum contagiosum virus subtype 1","Molluscum contagiosum virus subtype 1","NC_QCMD",365427
"KY215944.1",135301,282,0,0.11057262,0,"Bovine alphaherpesvirus 1 isolate 216 II, complete genome",10320,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Bovine alphaherpesvirus 1","unclassified Bovine alphaherpesvirus 1 subspecies/strain","unclassified Bovine alphaherpesvirus 1 strain","NC_QCMD",365427
"KY385637.1",147346,282,4,1.1576605,0.0742884,"Ateline alphaherpesvirus 1 isolate Lennette, complete genome",35243,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Ateline alphaherpesvirus 1","unclassified Ateline alphaherpesvirus 1 subspecies/strain","unclassified Ateline alphaherpesvirus 1 strain","NC_QCMD",365427
"KY490071.1",235397,699,5,0.002971345,0.0581257,"Human betaherpesvirus 5 strain HANChild1, complete genome",10359,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Human betaherpesvirus 5","unclassified Human betaherpesvirus 5 subspecies/strain","unclassified Human betaherpesvirus 5 strain","NC_QCMD",365427
"KY549446.1",137712,352,67,1.0427953,1.33138,"Bovine alphaherpesvirus 5 strain ISO 97/45, complete genome",35244,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Bovine alphaherpesvirus 5","unclassified Bovine alphaherpesvirus 5 subspecies/strain","unclassified Bovine alphaherpesvirus 5 strain","NC_QCMD",365427
"KY581736.1",4872,131,1,0.027742483,0.561684,"Gorilla bocaparvovirus 2 isolate GBOV2/GAB1, partial genome",1986196,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 2","Gorilla bocaparvovirus 2","Gorilla bocaparvovirus 2","NC_QCMD",365427
"KY628971.1",155462,454,127,0.10679149,2.23552,"Macacine alphaherpesvirus 1 isolate 12930, complete genome",10325,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Macacine alphaherpesvirus 1","unclassified Macacine alphaherpesvirus 1 subspecies/strain","unclassified Macacine alphaherpesvirus 1 strain","NC_QCMD",365427
"L23427.1",5075,150,1,0.030456852,0.539217,"Porcine parvovirus (NADL-2) DNA fragment encoding PT4 and PT40",10796,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Protoparvovirus","Ungulate protoparvovirus 1","Porcine parvovirus","Porcine parvovirus","NC_QCMD",365427
"LC075584.1",144636,106,0,0.000968952,0,"Equid alphaherpesvirus 4 DNA, complete genome, strain: 01-10-1",10331,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Equid alphaherpesvirus 4","unclassified Equid alphaherpesvirus 4 subspecies/strain","unclassified Equid alphaherpesvirus 4 strain","NC_QCMD",365427
"LR027540.1",7398,120,1,0.01655629,0.369901,"Coxsackievirus A7 isolate CV-A7|37183|TKM|2010 genome assembly, complete genome: monopartite",42787,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus A","Coxsackievirus A7","Coxsackievirus A7","NC_QCMD",365427
"LT797627.1",138912,326,2,0.0023493464,0.0393994,"Human herpesvirus 2 isolate 1 genome assembly, complete genome: monopartite",10310,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 2","unclassified Human alphaherpesvirus 2 subspecies/strain","unclassified Human alphaherpesvirus 2 strain","NC_QCMD",365427
"MF327573.1",2745,142,33,1.8023121,32.8981,"Giant panda circovirus 1 strain gpci001, complete genome",2016456,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","Circovirus","Giant panda circovirus 1","unclassified Giant panda circovirus 1 subspecies/strain","unclassified Giant panda circovirus 1 strain","NC_QCMD",365427
"MH036942.1",138199,264,68,0.082528666,1.34649,"Cervid alphaherpesvirus 1 strain Anlier, complete genome",79891,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Cervid alphaherpesvirus 1","unclassified Cervid alphaherpesvirus 1 subspecies/strain","unclassified Cervid alphaherpesvirus 1 strain","NC_QCMD",365427
"MH036943.1",142633,654,3,0.028606921,0.0575573,"Cervid alphaherpesvirus 2 strain Norway, complete genome",365327,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Cervid alphaherpesvirus 2","unclassified Cervid alphaherpesvirus 2 subspecies/strain","unclassified Cervid alphaherpesvirus 2 strain","NC_QCMD",365427
"MH698402.1",162076,1522,114,0.09922434,1.9248,"Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome",32604,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Human betaherpesvirus 6B","unclassified Human betaherpesvirus 6B subspecies/strain","unclassified Human betaherpesvirus 6B strain","NC_QCMD",365427
"MN205539.1",137429,244,5,0.0062136236,0.0995614,"UNVERIFIED: Human gammaherpesvirus 8 strain BCBL-1, complete genome",37296,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Rhadinovirus","Human gammaherpesvirus 8","unclassified Human gammaherpesvirus 8 subspecies/strain","unclassified Human gammaherpesvirus 8 strain","NC_QCMD",365427
"MN240300.1",210797,349,2,0.011773251,0.0259636,"Alaskapox virus isolate Alaska_2015, complete genome",2602439,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Alaskapox virus","unclassified Alaskapox virus subspecies/strain","unclassified Alaskapox virus strain","NC_QCMD",365427
"MN244297.1",221153,1860,12,0.009194445,0.148487,"Akhmeta virus strain A39, complete genome",2200830,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Akhmeta virus","unclassified Akhmeta virus subspecies/strain","unclassified Akhmeta virus strain","NC_QCMD",365427
"NC_001491.2",150224,229,19,0.012873649,0.34611,"Equid herpesvirus 1, complete genome",10326,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Equid alphaherpesvirus 1","unclassified Equid alphaherpesvirus 1 subspecies/strain","unclassified Equid alphaherpesvirus 1 strain","NC_QCMD",365427
"NC_001664.4",159378,678,58,0.051423118,0.995862,"Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102",32603,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Human betaherpesvirus 6A","unclassified Human betaherpesvirus 6A subspecies/strain","unclassified Human betaherpesvirus 6A strain","NC_QCMD",365427
"NC_001987.1",108409,168,10,0.012285353,0.252426,"Ateline herpesvirus 3 complete genome",85618,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Rhadinovirus","Ateline gammaherpesvirus 3","unclassified Ateline gammaherpesvirus 3 subspecies/strain","unclassified Ateline gammaherpesvirus 3 strain","NC_QCMD",365427
"NC_006151.1",143461,163,0,0.0013746328,0,"Suid herpesvirus 1, complete genome",10345,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Suid alphaherpesvirus 1","unclassified Suid alphaherpesvirus 1 subspecies/strain","unclassified Suid alphaherpesvirus 1 strain","NC_QCMD",365427
"NC_006560.1",150715,684,3,0.44822502,0.0544708,"Cercopithecine herpesvirus 2, complete genome",10317,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Cercopithecine alphaherpesvirus 2","unclassified Cercopithecine alphaherpesvirus 2 subspecies/strain","unclassified Cercopithecine alphaherpesvirus 2 strain","NC_QCMD",365427
"NC_007653.1",156487,911,33,0.027920455,0.577079,"Papiine herpesvirus 2, complete genome",340907,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Papiine alphaherpesvirus 2","unclassified Papiine alphaherpesvirus 2 subspecies/strain","unclassified Papiine alphaherpesvirus 2 strain","NC_QCMD",365427
"NC_012783.2",226205,154,0,0.014545132,0,"Cercopithecine herpesvirus 5 strain 2715, complete genome",50292,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Cercopithecine betaherpesvirus 5","unclassified Cercopithecine betaherpesvirus 5 subspecies/strain","unclassified Cercopithecine betaherpesvirus 5 strain","NC_QCMD",365427
"NC_014567.1",156742,431,2,0.14010294,0.0349176,"Saimiriine herpesvirus 1, complete genome",10353,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Saimiriine alphaherpesvirus 1","unclassified Saimiriine alphaherpesvirus 1 subspecies/strain","unclassified Saimiriine alphaherpesvirus 1 strain","NC_QCMD",365427
"NC_023677.1",153158,126,6,0.84432185,0.107204,"Chimpanzee alpha-1 herpesvirus strain 105640, complete genome",332937,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Panine alphaherpesvirus 3","Chimpanzee herpesvirus strain 105640","Chimpanzee herpesvirus strain 105640","NC_QCMD",365427
"U48704.1",4726,378,2,0.072770976,1.15807,"Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","Adeno-associated virus - 3","Adeno-associated virus - 3","NC_QCMD",365427
"U89790.1",4767,149,1,0.032272037,0.574056,"Adeno-associated virus 4, complete genome",57579,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","Adeno-associated virus - 4","Adeno-associated virus - 4","NC_QCMD",365427
"X83110.1",5722,150,1,0.026920317,0.478246,"Beet mild yellowing virus genomic RNA",156690,"Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae","Polerovirus","Beet mild yellowing virus","unclassified Beet mild yellowing virus subspecies/strain","unclassified Beet mild yellowing virus strain","NC_QCMD",365427
"MF588677.1",7550,127,1,0.017162163,0.362454,"Betapapillomavirus 1 isolate Beta01_HIVGc36, complete genome",337051,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","unclassified Betapapillomavirus 1 subspecies/strain","unclassified Betapapillomavirus 1 strain","NC_QCMD",365427
"AF530576.1",9017,121,1,0.013646103,0.303485,"HIV-1 isolate 99TH.R2399 subtype CRF15_01B from Thailand, complete genome",11676,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Human immunodeficiency virus 1","unclassified Human immunodeficiency virus 1 subspecies/strain","unclassified Human immunodeficiency virus 1 strain","NC_QCMD",365427
"M17451.1",9128,141,1,0.012474938,0.299795,"Human immunodeficiency virus type 1, isolate RF (HAT-3), complete genome",11676,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Human immunodeficiency virus 1","unclassified Human immunodeficiency virus 1 subspecies/strain","unclassified Human immunodeficiency virus 1 strain","NC_QCMD",365427
"OM460002.1",220276,7037,48,0.034293994,0.596312,"Cowpox virus isolate No-H2, complete genome",10243,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Cowpox virus","unclassified Cowpox virus subspecies/strain","unclassified Cowpox virus strain","NC_QCMD",365427
"GQ329670.1",145289,228,1,0.41002762,0.018835,"Pseudocowpox virus strain VR634, complete genome",129726,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus","Pseudocowpox virus","unclassified Pseudocowpox virus subspecies/strain","unclassified Pseudocowpox virus strain","NC_QCMD",365427
"KM875470.1",136055,228,51,0.1897649,1.02578,"Bovine papular stomatitis virus strain BV-TX09c15, complete genome",129727,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus","Bovine papular stomatitis virus","unclassified Bovine papular stomatitis virus subspecies/strain","unclassified Bovine papular stomatitis virus strain","NC_QCMD",365427
"KY628968.1",157447,287,0,0.03266432,0,"Macacine alphaherpesvirus 1 isolate 8100812, complete genome",10325,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Macacine alphaherpesvirus 1","unclassified Macacine alphaherpesvirus 1 subspecies/strain","unclassified Macacine alphaherpesvirus 1 strain","NC_QCMD",365427
"KY628970.1",157321,257,1,0.014112018,0.0173945,"Macacine alphaherpesvirus 1 isolate KQ, complete genome",10325,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Macacine alphaherpesvirus 1","unclassified Macacine alphaherpesvirus 1 subspecies/strain","unclassified Macacine alphaherpesvirus 1 strain","NC_QCMD",365427
"MT862163.1",131245,209,10,0.09461841,0.208505,"Bovine alphaherpesvirus 2 strain C1Z FZR",10295,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Bovine alphaherpesvirus 2","unclassified Bovine alphaherpesvirus 2 subspecies/strain","unclassified Bovine alphaherpesvirus 2 strain","NC_QCMD",365427
"MT900475.1",141859,119,20,0.34903923,0.385809,"Macropodid alphaherpesvirus 2 strain V3077/08",83440,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Macropodid alphaherpesvirus 2","unclassified Macropodid alphaherpesvirus 2 subspecies/strain","unclassified Macropodid alphaherpesvirus 2 strain","NC_QCMD",365427
