accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
AF345526.1	3312	852	42	1.6242884	2.48684	Torque teno virus 13 isolate TCHN-A Orf2 and Orf1 genes, complete cds	687352	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 13	unclassified Torque teno virus 13 subspecies/strain	unclassified Torque teno virus 13 strain	B7	5099311
AF348409.1	3153	324	7	0.31401932	0.435374	Torque teno virus 21 isolate TCHN-B ORF2 and ORF1 genes, complete cds	687360	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 21	unclassified Torque teno virus 21 subspecies/strain	unclassified Torque teno virus 21 strain	B7	5099311
AF435014.1	3705	266	59	2.5189874	3.12286	Torque teno virus 6 isolate KAV, complete genome	687345	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 6	unclassified Torque teno virus 6 subspecies/strain	unclassified Torque teno virus 6 strain	B7	5099311
AF457102.1	15600	150	1	0.009708738	0.0125708	HPIV-1 strain Washington/1964, complete genome	188538	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Respirovirus	Human respirovirus 1	Human parainfluenza virus 1 strain Washington/1964	Human parainfluenza virus 1 strain Washington/1964	B7	5099311
AJ249939.1	7490	589	5	0.09945504	0.130911	Human calicivirus SLV/Bristol/98/UK gene for polyprotein and ORF2, genomic RNA	248942	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Bristol/1998/UK	Sapovirus Hu/Bristol/1998/UK	B7	5099311
AJ606693.2	7436	141	1	0.019352183	0.0263724	Sapporo virus (Hu/SV/Chiba/000496/2000) capsid gene, ORF1 and ORF2	255226	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Chiba/000496/2000	Sapovirus Hu/Chiba/000496/2000	B7	5099311
AX025718.1	3313	668	18	1.0116978	1.06547	Sequence 75 from Patent WO0028039	687357	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 18	unclassified Torque teno virus 18 subspecies/strain	unclassified Torque teno virus 18 strain	B7	5099311
AX025830.1	3249	174	0	0.09777348	0	Sequence 187 from Patent WO0028039	687356	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 17	unclassified Torque teno virus 17 subspecies/strain	unclassified Torque teno virus 17 strain	B7	5099311
AX174942.1	3847	2792	143	5.9069514	7.28958	Sequence 1 from Patent WO0142299	687361	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 22	unclassified Torque teno virus 22 subspecies/strain	unclassified Torque teno virus 22 strain	B7	5099311
AY037928.1	9472	9011	1445	22.14675	29.9168	Human endogenous retrovirus K113 complete genome	166122	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	unclassified Retroviridae genus	Human endogenous retrovirus K	Human endogenous retrovirus K113	Human endogenous retrovirus K113	B7	5099311
AY518894.1	27555	296	2	0.010800948	0.0142337	Human group 1 coronavirus associated with pneumonia, complete genome	270642	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus NL63	Human group 1 coronavirus associated with pneumonia	Human group 1 coronavirus associated with pneumonia	B7	5099311
AY646853.2	7429	327	2	0.044923753	0.0527944	Sapovirus NongKhai-50/Thailand, complete genome	300714	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus NongKhai-50/Thailand	Sapovirus NongKhai-50/Thailand	B7	5099311
AY646854.2	7429	150	1	0.020607226	0.0263972	Sapovirus Chanthaburi-74/Thailand, complete genome	300715	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Chanthaburi-74/Thailand	Sapovirus Chanthaburi-74/Thailand	B7	5099311
AY646856.2	7500	1022	7	0.13904762	0.183031	Sapovirus NongKhai-24/Thailand, complete genome	300717	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus NongKhai-24/Thailand	Sapovirus NongKhai-24/Thailand	B7	5099311
AY666122.2	3748	546	45	1.9321846	2.35451	Torque teno virus 3 strain HEL32, complete genome	687342	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 3	unclassified Torque teno virus 3 subspecies/strain	unclassified Torque teno virus 3 strain	B7	5099311
AY694184.2	7429	143	1	0.019645555	0.0263972	Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome	291175	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Dresden/pJG-Sap01/DE	Sapovirus Hu/Dresden/pJG-Sap01/DE	B7	5099311
DQ187006.1	3064	126	2	0.08647907	0.128006	Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene, complete cds; and nonfunctional ORF1 (ORF1) gene, complete sequence	687348	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 9	unclassified Torque teno virus 9 subspecies/strain	unclassified Torque teno virus 9 strain	B7	5099311
EF538882.1	2912	1794	57	2.917813	3.83859	Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds	2065038	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 12	unclassified Torque teno mini virus 12 subspecies/strain	unclassified Torque teno mini virus 12 strain	B7	5099311
EU424062.1	15462	296	2	0.019331243	0.025366	Human parainfluenza virus 3 strain 14702, complete genome	11216	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Respirovirus	Human respirovirus 3	unclassified Human respirovirus 3 subspecies/strain	unclassified Human respirovirus 3 strain	B7	5099311
FJ445151.1	7211	159	0	0.036255486	0	Human rhinovirus 69 strain ATCC VR-1179, complete genome	147678	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	Rhinovirus B69	Rhinovirus B69	B7	5099311
FJ445168.1	7221	5259	849	17.957714	23.0568	Human rhinovirus 91 strain ATCC VR-1292, complete genome	167325	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B91	rhinovirus B91	B7	5099311
FJ544577.2	8183	610	5	0.09299141	0.119825	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	B7	5099311
FJ654700.1	10862	10855	12505	176.5673	225.768	Yellow fever virus 17D/Tiantan, complete genome	617102	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Yellow fever virus	Yellow fever virus 17D/Tiantan	Yellow fever virus 17D/Tiantan	B7	5099311
FN824512.2	45480	124	1	0.10699316	0.00431189	Pigeon adenovirus 1 complete genome, strain IDA4	764030	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Pigeon aviadenovirus A	Pigeon adenovirus 1	Pigeon adenovirus 1	B7	5099311
FR751463.1	3725	1696	97	4.0813985	5.10662	Torque teno virus complete genome, isolate TTV-HD14a (gbDhDi33.32)	68887	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus	unclassified Torque teno virus subspecies/strain	unclassified Torque teno virus strain	B7	5099311
FR872816.1	8562	205	1	0.024369948	0.0229041	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	B7	5099311
JX134044.1	2912	150	1	0.05430847	0.0673437	TTV-like mini virus isolate TTMV_LY1, complete genome	93678	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	TTV-like mini virus	unclassified TTV-like mini virus subspecies/strain	unclassified TTV-like mini virus strain	B7	5099311
KF703446.1	127320	165	0	0.009074467	0	Retroperitoneal fibromatosis-associated herpesvirus isolate RFHVMnM78114, complete genome	111469	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Macacine gammaherpesvirus 8	Retroperitoneal fibromatosis-associated herpesvirus	Retroperitoneal fibromatosis-associated herpesvirus	B7	5099311
KJ541759.1	33452	185	8	0.051378295	0.0468982	Ball python nidovirus strain 07-53, complete genome	1986118	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Tobaniviridae	Pregotovirus	Ball python nidovirus 1	unclassified Ball python nidovirus 1 subspecies/strain	unclassified Ball python nidovirus 1 strain	B7	5099311
KM259873.1	2914	148	1	0.053545587	0.0672975	Torque teno mini virus ALA22, complete genome	1535290	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 27	Torque teno mini virus ALA22	Torque teno mini virus ALA22	B7	5099311
KM972720.1	4467	116	5	0.048876535	0.219504	Tete virus strain SaAn 3518 glycoprotein precursor, gene, complete cds	35319	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	unclassified Tete orthobunyavirus subspecies/strain	unclassified Tete orthobunyavirus strain	B7	5099311
KP298674.1	7429	5531	113	2.233411	2.98289	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR, complete genome	1652048	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR	Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR	B7	5099311
KP676001.1	154158	238	0	0.0042789984	0	Lymphocryptovirus Macaca/pfe-lcl-E3 isolate pfe-lcl-E3, complete genome	1716044	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Lymphocryptovirus	Macacine gammaherpesvirus 10	Lymphocryptovirus Macaca/pfe-lcl-E3	Lymphocryptovirus Macaca/pfe-lcl-E3	B7	5099311
KT149397.1	2985	417	3	0.10440917	0.19709	Circovirus-like genome DCCV-4, complete genome	1788444	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Circovirus-like genome DCCV-4	unclassified Circovirus-like genome DCCV-4 subspecies/strain	unclassified Circovirus-like genome DCCV-4 strain	B7	5099311
KT149406.1	2433	150	1	0.06570302	0.0806021	Circovirus-like genome DCCV-13, complete genome	1788441	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Circovirus-like genome DCCV-13	unclassified Circovirus-like genome DCCV-13 subspecies/strain	unclassified Circovirus-like genome DCCV-13 strain	B7	5099311
KU041847.1	2803	1650	72	3.6434226	5.0373	Torque teno mini virus 18 isolate 222, complete genome	1859149	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 32	Torque teno mini virus 18	Torque teno mini virus 18	B7	5099311
KU324802.1	8203	288	2	0.032410283	0.047813	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	B7	5099311
KU351741.1	137448	199	0	0.029723667	0	Macaca nemestrina herpesvirus 7, complete genome	1846169	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Macacine betaherpesvirus 9	Macaca nemestrina herpesvirus 7	Macaca nemestrina herpesvirus 7	B7	5099311
KU936049.1	137452	1775	6	0.4057916	0.00856029	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	B7	5099311
KY040274.1	192183	297	0	0.004462775	0	Molluscum contagiosum virus subtype 2 isolate Madrid 2016_1, complete genome	10281	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus	Molluscum contagiosum virus subtype 2	Molluscum contagiosum virus subtype 2	B7	5099311
KY040275.1	188253	472	0	0.028978804	0	Molluscum contagiosum virus subtype 1 isolate Madrid 2016_3, complete genome	10280	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus	Molluscum contagiosum virus subtype 1	Molluscum contagiosum virus subtype 1	B7	5099311
KY215944.1	135301	646	24	0.17522623	0.0347855	Bovine alphaherpesvirus 1 isolate 216 II, complete genome	10320	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bovine alphaherpesvirus 1	unclassified Bovine alphaherpesvirus 1 subspecies/strain	unclassified Bovine alphaherpesvirus 1 strain	B7	5099311
KY369902.1	6943	698	822	17.304726	23.2174	Rhinovirus B70 strain SC1060, complete genome	185926	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B70	rhinovirus B70	B7	5099311
KY385637.1	147346	278	0	0.022086198	0	Ateline alphaherpesvirus 1 isolate Lennette, complete genome	35243	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Ateline alphaherpesvirus 1	unclassified Ateline alphaherpesvirus 1 subspecies/strain	unclassified Ateline alphaherpesvirus 1 strain	B7	5099311
KY490071.1	235397	5916	42	0.028089626	0.0349894	Human betaherpesvirus 5 strain HANChild1, complete genome	10359	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5	unclassified Human betaherpesvirus 5 subspecies/strain	unclassified Human betaherpesvirus 5 strain	B7	5099311
KY549446.1	137712	406	0	0.02270976	0	Bovine alphaherpesvirus 5 strain ISO 97/45, complete genome	35244	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bovine alphaherpesvirus 5	unclassified Bovine alphaherpesvirus 5 subspecies/strain	unclassified Bovine alphaherpesvirus 5 strain	B7	5099311
KY628971.1	155462	209	0	0.002871639	0	Macacine alphaherpesvirus 1 isolate 12930, complete genome	10325	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Macacine alphaherpesvirus 1	unclassified Macacine alphaherpesvirus 1 subspecies/strain	unclassified Macacine alphaherpesvirus 1 strain	B7	5099311
LC075584.1	144636	159	0	0.0031006464	0	Equid alphaherpesvirus 4 DNA, complete genome, strain: 01-10-1	10331	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Equid alphaherpesvirus 4	unclassified Equid alphaherpesvirus 4 subspecies/strain	unclassified Equid alphaherpesvirus 4 strain	B7	5099311
LN827554.1	165750	78055	1652	1.5371437	1.95454	Human herpesvirus 4 genome assembly AFB1b, segment : I	10376	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Lymphocryptovirus	Human gammaherpesvirus 4	unclassified Human gammaherpesvirus 4 subspecies/strain	unclassified Human gammaherpesvirus 4 strain	B7	5099311
LT594108.1	151216	4440	28	0.030059708	0.0363119	Human herpesvirus 1 isolate 1319_2005 genome assembly, complete genome: monopartite	10298	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Human alphaherpesvirus 1	unclassified Human alphaherpesvirus 1 subspecies/strain	unclassified Human alphaherpesvirus 1 strain	B7	5099311
M22820.1	4901	150	1	0.0315723	0.0400132	Snyder-Theilen feline sarcoma virus genomic sequence, sequence	11780	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Snyder-Theilen feline sarcoma virus	unclassified Snyder-Theilen feline sarcoma virus subspecies/strain	unclassified Snyder-Theilen feline sarcoma virus strain	B7	5099311
MF898328.1	125095	179	0	0.7346833	0	Human alphaherpesvirus 3 strain Baike, complete genome	10335	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Human alphaherpesvirus 3	unclassified Human alphaherpesvirus 3 subspecies/strain	unclassified Human alphaherpesvirus 3 strain	B7	5099311
MG012444.1	7483	292	2	0.039819993	0.0524135	Sapovirus GII.1 strain Hu/US/2015/GII.1/Nashville9343 ORF1 polyprotein and ORF2 protein genes, complete cds	1398548	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus GII.1	Sapovirus GII.1	B7	5099311
MG012446.1	7398	150	1	0.020695364	0.0265078	Sapovirus GII.4 strain Hu/PE/2016/GII.4/Lima1873 ORF1 polyprotein and ORF2 protein genes, complete cds	1697442	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus GII.4	Sapovirus GII.4	B7	5099311
MG712775.1	44454	130	3	0.081279345	0.0132342	Fowl adenovirus 8b isolate SD1356, complete genome	586029	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus E	Fowl adenovirus 8b	Fowl adenovirus 8b	B7	5099311
MH036942.1	138199	629	0	0.031097654	0	Cervid alphaherpesvirus 1 strain Anlier, complete genome	79891	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Cervid alphaherpesvirus 1	unclassified Cervid alphaherpesvirus 1 subspecies/strain	unclassified Cervid alphaherpesvirus 1 strain	B7	5099311
MH036943.1	142633	692	0	0.025455669	0	Cervid alphaherpesvirus 2 strain Norway, complete genome	365327	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Cervid alphaherpesvirus 2	unclassified Cervid alphaherpesvirus 2 subspecies/strain	unclassified Cervid alphaherpesvirus 2 strain	B7	5099311
MH698402.1	162076	2134	313	0.2786149	0.378716	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	B7	5099311
NC_001664.4	159378	741	195	0.18167031	0.239936	Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102	32603	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6A	unclassified Human betaherpesvirus 6A subspecies/strain	unclassified Human betaherpesvirus 6A strain	B7	5099311
NC_001716.2	153080	1481	24	0.014281044	0.0307455	Human herpesvirus 7, complete genome	10372	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 7	unclassified Human betaherpesvirus 7 subspecies/strain	unclassified Human betaherpesvirus 7 strain	B7	5099311
