StrainName BAL,Identifier,NbReads,DepthOfCoverage,NtIdentity,AaIdentity,GenomeCoveragePct,UniformCoveragePct,ReferenceType,AssignmentLevel,TaxonomyId,StrainAssembly,TaxonomyLineage
Nicoomyvirus,8-0,74,5.407819225,0.970155,0.962707,73.7566,N/A,strain,Assignment,3425078,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Lineavirales|Oomyviridae|Nicoomyvirus
Punavirus P1 / Escherichia phage P1,9-0,66,11.29827586,0.981959,0.986395,1.14106,N/A,strain,Discovery,10678,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Punavirus|Punavirus P1
Barbavirus barba21A / Barba21A,10-0,42,15.49575071,0.864023,0.771186,0.439268,N/A,strain,Discovery,2734092,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Barbavirus|Barbavirus barba21A
Choristoneura fumiferana granulovirus,11-0,41,38.5,0.926316,1,0.0859517,N/A,strain,Discovery,56947,N/A,Viruses|Viruses incertae sedis|Naldaviricetes|Lefavirales|Baculoviridae|Betabaculovirus|Betabaculovirus chofumiferanae|Choristoneura fumiferana granulovirus
Barbavirus barba18A / Barba18A,12-0,36,10.53796095,0.874725,0.789474,0.573797,N/A,strain,Discovery,2734090,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Barbavirus|Barbavirus barba18A
Lambdavirus DE3 / Escherichia phage DE3,13-0,13,3.944584383,0.809524,0.817204,0.924869,N/A,strain,Discovery,3430323,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Lambdavirus|Lambdavirus DE3
Salmonella phage ST160,14-0,10,10,0.869565,0.774194,0.224467,N/A,strain,Discovery,714583,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Lederbergvirus|unclassified Lederbergvirus|Salmonella phage ST160
Simplexvirus humanalpha1 / human alphaherpesvirus 1; herpes simplex virus 1,15-0,9,1,0.867261,0.767225,1.28102,N/A,strain,Discovery,3050292,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Alphaherpesvirinae|Simplexvirus|Simplexvirus humanalpha1
Roseolovirus humanbeta6b / human betaherpesvirus 6B; human herpesvirus 6B,16-0,8,1,0.85307,0.793103,1.1202,N/A,strain,Discovery,3050297,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Betaherpesvirinae|Roseolovirus|Roseolovirus humanbeta6b
Salmonella phage epsilon34,17-0,8,5.247191011,0.842697,0.733333,0.4138,N/A,strain,Discovery,348058,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Lederbergvirus|unclassified Lederbergvirus|Salmonella phage epsilon34
Bracoviriform facetosae / Diolcogaster facetosa bracovirus (segment NC_043325.1),18-0,7,5.912621359,0.927835,0,0.287372,N/A,strain,Discovery,2083300,N/A,Viruses|Viruses incertae sedis|Polydnaviriformidae|Bracoviriform|Bracoviriform facetosae
Alphapolyomavirus quintihominis / Merkel cell polyomavirus,19-0,6,5.97515528,1,1,2.98868,N/A,strain,Discovery,1891726,N/A,Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Papovaviricetes|Sepolyvirales|Polyomaviridae|Alphapolyomavirus|Alphapolyomavirus quintihominis
Tequatrovirus kaw / Escherichia phage vB_EcoM_KAW1E185,20-0,4,3.175,0.9,0,0.0484887,N/A,strain,Discovery,2844208,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Tevenvirinae|Tequatrovirus|Tequatrovirus kaw
Torque teno virus 27,21-0,2,1,0.863732,0.74359,13.2475,N/A,strain,Assignment,687366,N/A,Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Alphatorquevirus|Alphatorquevirus homin29|Torque teno virus 27
Enterovirus betacoxsackie / coxsackievirus / echovirus / enterovirus B / simian agent,22-0,2,1,0.702703,0.798507,12.1667,N/A,strain,Discovery,3428502,N/A,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Ensavirinae|unclassified Ensavirinae|Enterovirus|Enterovirus betacoxsackie
Belligerivirus frelianis / Circovirus-like genome DCCV-10,23-0,1,1,0.909091,0.818182,7.62931,N/A,strain,Discovery,3427121,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Jormunvirales|Draupnirviridae|Belligerivirus|Belligerivirus frelianis
Varicellovirus humanalpha3 / human alphaherpesvirus 3; varicella-zoster virus,24-0,1,1,0.892617,0.82,0.119311,N/A,strain,Discovery,3050294,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Alphaherpesvirinae|Varicellovirus|Varicellovirus humanalpha3
Blattambidensovirus incertum1 / Parus major densovirus,25-0,1,1,0.826484,0.714286,4.25861,N/A,strain,Discovery,3059782,N/A,Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes|Piccovirales|Parvoviridae|Densovirinae|Blattambidensovirus|Blattambidensovirus incertum1
Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus,26-0,1,1,0.633333,0.560976,11.0818,N/A,strain,Discovery,1692258,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|unclassified Circoviridae|Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus
Ittyvirus itty13 / Pseudomonas phage Itty13,27-0,1,1,0.810811,0.837838,0.174706,N/A,strain,Discovery,3060058,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ittyvirus|Ittyvirus itty13
Giant panda circovirus 1,28-0,1,1,0.652968,0.589041,7.97814,N/A,strain,Discovery,2016456,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|Circovirus|unclassified Circovirus|Giant panda circovirus 1
Pormufvirus salinum / Halorubrum tailed virus 28,29-0,1,1,0.833333,0.846154,0.275021,N/A,strain,Discovery,3431827,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Suolaviridae|Pormufvirus|Pormufvirus salinum
Chimeric virus 14,30-0,1,1,0.986111,0.958333,9.16905,N/A,strain,Discovery,1608440,N/A,Viruses|unclassified viruses|Chimeric virus 14
Gokushovirinae GAIR4,31-0,1,1,0.727778,0.836066,4.00627,N/A,strain,Discovery,1701404,N/A,Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Gokushovirinae|unclassified Gokushovirinae|Gokushovirinae GAIR4
,,,,,,,,,,,,
StrainName CSF neg 2,Identifier,NbReads,DepthOfCoverage,NtIdentity,AaIdentity,GenomeCoveragePct,UniformCoveragePct,ReferenceType,AssignmentLevel,TaxonomyId,StrainAssembly,TaxonomyLineage
Circovirus-like genome DCCV-4,0-0,657,41.46653005,0.99556,0.994987,98.0905,N/A,strain,Assignment,1788444,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|unclassified Circoviridae|Circovirus-like genome DCCV-4
Mastadenovirus caesari / human adenovirus / chimpanzee adenovirus / simian adenovirus,1-0,305,27.18469294,0.994475,0.98331,6.07174,N/A,segment,Discovery,3241411,N/A,Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Polisuviricotina|Pharingeaviricetes|Rowavirales|Adenoviridae|Mastadenovirus|Mastadenovirus caesari
Mastadenovirus caesari / human adenovirus / chimpanzee adenovirus / simian adenovirus,1-1,161,24.15927419,0.991263,0.987775,4.13322,N/A,segment,Discovery,3241411,N/A,Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Polisuviricotina|Pharingeaviricetes|Rowavirales|Adenoviridae|Mastadenovirus|Mastadenovirus caesari
Scythevirus dianchis / Circovirus-like genome DCCV-13,2-0,221,22.31974374,0.986063,0.979021,70.5713,N/A,strain,Assignment,3432310,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Saturnivirales|Kanorauviridae|Scythevirus|Scythevirus dianchis
Punavirus P1 / Escherichia phage P1,3-0,170,23.08148734,0.971496,0.983221,1.24336,N/A,strain,Discovery,10678,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Punavirus|Punavirus P1
Choristoneura fumiferana granulovirus,4-0,53,46.91111111,0.926316,1,0.0859517,N/A,strain,Discovery,56947,N/A,Viruses|Viruses incertae sedis|Naldaviricetes|Lefavirales|Baculoviridae|Betabaculovirus|Betabaculovirus chofumiferanae|Choristoneura fumiferana granulovirus
Nicoomyvirus,5-0,53,5.768714507,0.970211,0.948718,51.2434,N/A,strain,Assignment,3425078,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Lineavirales|Oomyviridae|Nicoomyvirus
Varicellovirus humanalpha3 / human alphaherpesvirus 3; varicella-zoster virus,6-0,52,2.014383043,0.838919,0.741082,2.11556,N/A,strain,Discovery,3050294,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Alphaherpesvirinae|Varicellovirus|Varicellovirus humanalpha3
Roseolovirus humanbeta6b / human betaherpesvirus 6B; human herpesvirus 6B,7-0,23,2.168451801,0.896434,0.805704,1.26701,N/A,strain,Discovery,3050297,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Betaherpesvirinae|Roseolovirus|Roseolovirus humanbeta6b
Lambdavirus DE3 / Escherichia phage DE3,8-0,18,5.23580786,0.954545,0.955975,1.60047,N/A,strain,Discovery,3430323,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Lambdavirus|Lambdavirus DE3
Simplexvirus humanalpha1 / human alphaherpesvirus 1; herpes simplex virus 1,9-0,11,1,0.867199,0.797678,1.33029,N/A,strain,Discovery,3050292,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Alphaherpesvirinae|Simplexvirus|Simplexvirus humanalpha1
Yokohamavirus MSW3 / Edwardsiella phage MSW-3,10-0,9,6.777777778,0.820261,0.715686,0.715856,N/A,strain,Discovery,1980941,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Yokohamavirus|Yokohamavirus MSW3
Blattambidensovirus incertum1 / Parus major densovirus,11-0,6,1.887966805,0.884861,0.869565,9.33024,N/A,strain,Discovery,3059782,N/A,Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes|Piccovirales|Parvoviridae|Densovirinae|Blattambidensovirus|Blattambidensovirus incertum1
Salmonella phage ST160,12-0,4,4,0.828947,0.82,0.370858,N/A,strain,Discovery,714583,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Lederbergvirus|unclassified Lederbergvirus|Salmonella phage ST160
Torque teno virus 27,13-0,3,1,0.943363,0.952206,15.4733,N/A,strain,Assignment,687366,N/A,Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Alphatorquevirus|Alphatorquevirus homin29|Torque teno virus 27
Ninurtavirus,14-0,3,3,0.645455,0.589041,7.65702,N/A,strain,Discovery,3152926,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Saturnivirales|Kanorauviridae|Ninurtavirus
Cimandefvirus eline / Ralstonia phage Eline,15-0,3,2.258687259,0.92278,0.906977,0.451597,N/A,strain,Discovery,2846042,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Cimandefvirus|Cimandefvirus eline
Alphapolyomavirus quintihominis / Merkel cell polyomavirus,16-0,2,2,0.990099,0.941176,1.87488,N/A,strain,Discovery,1891726,N/A,Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Papovaviricetes|Sepolyvirales|Polyomaviridae|Alphapolyomavirus|Alphapolyomavirus quintihominis
Baikalvirus PaBG / Pseudomonas phage PaBG,17-0,2,1,0.882653,0.916031,0.151856,N/A,strain,Discovery,2734089,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Baikalvirus|Baikalvirus PaBG
Giant panda circovirus 1,18-0,2,1.168253968,0.924051,0.933962,11.4754,N/A,strain,Assignment,2016456,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|Circovirus|unclassified Circovirus|Giant panda circovirus 1
Pormufvirus salinum / Halorubrum tailed virus 28,19-0,2,2,0.869318,0.896552,0.499008,N/A,strain,Discovery,3431827,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Suolaviridae|Pormufvirus|Pormufvirus salinum
Orthonairovirus haemorrhagiae / Crimean-Congo hemorrhagic fever virus (segment L),20-0,1,1,0.821705,0.906977,1.06541,N/A,strain,Discovery,3052518,N/A,Viruses|Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Bunyaviricetes|Hareavirales|Nairoviridae|Orthonairovirus|Orthonairovirus haemorrhagiae
Enterovirus betacoxsackie / coxsackievirus / echovirus / enterovirus B / simian agent,21-0,1,1,0.779614,0.92562,4.91271,N/A,strain,Discovery,3428502,N/A,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Ensavirinae|unclassified Ensavirinae|Enterovirus|Enterovirus betacoxsackie
Verrucomicrobia phage P8625,22-0,1,1,0.818966,0.871795,0.352648,N/A,strain,Discovery,1636271,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|unclassified Caudoviricetes|Verrucomicrobia phage P8625
Circovirus-like genome DCCV-7,23-0,1,1,0.875676,0.776,6.0907,N/A,strain,Discovery,1788447,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|unclassified Circoviridae|Circovirus-like genome DCCV-7
Lambdavirus HK629 / Escherichia phage HK629,24-0,1,1,1,0,0.183979,N/A,strain,Discovery,2169968,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Lambdavirus|Lambdavirus HK629
